date,region,avg_latency,p95_latency,avg_loss,avg_bandwidth,health_score,breach_hours
2025-03-20,eu-west-1,31.09,33.91,0.4,920.22,89.33,1
2025-03-20,us-east-1,19.48,25.68,0.27,924.39,93.18,0
2025-03-20,us-west-2,25.47,30.3,0.25,864.68,91.68,1
2025-03-21,ap-southeast-1,51.8,66.13,0.32,924.75,84.26,13
2025-03-21,eu-central-1,32.75,38.34,0.24,831.1,89.83,1
2025-03-21,eu-west-1,27.16,36.4,0.39,921.99,90.44,0
2025-03-21,us-east-1,19.0,25.41,0.38,901.72,92.64,0
2025-03-21,us-west-2,23.14,28.29,0.42,901.91,91.3,0
2025-03-22,ap-southeast-1,47.55,61.95,0.25,912.48,85.82,6
2025-03-22,eu-central-1,33.86,38.49,0.33,917.65,88.99,1
2025-03-22,eu-west-1,31.98,41.36,0.42,881.22,88.95,1
2025-03-22,us-east-1,19.29,23.05,0.37,883.45,92.63,0
2025-03-22,us-west-2,22.86,29.15,0.28,920.91,92.22,0
2025-03-23,ap-southeast-1,56.21,67.84,0.43,898.32,83.02,12
2025-03-23,eu-central-1,32.48,39.08,0.42,922.76,88.81,1
2025-03-23,eu-west-1,24.93,31.29,0.32,913.76,91.41,0
2025-03-23,us-east-1,18.54,23.74,0.45,914.47,92.37,0
2025-03-23,us-west-2,23.9,31.89,0.29,917.26,91.9,0
2025-03-24,ap-southeast-1,46.27,54.6,0.28,880.81,85.97,8
2025-03-24,eu-central-1,34.99,39.03,0.33,902.71,88.67,1
2025-03-24,eu-west-1,28.73,35.26,0.27,913.76,90.73,1
2025-03-24,us-east-1,19.15,24.28,0.22,912.43,93.58,0
2025-03-24,us-west-2,23.06,31.16,0.3,913.63,92.08,0
2025-03-25,ap-southeast-1,45.93,56.15,0.34,894.93,85.74,7
2025-03-25,eu-central-1,35.53,40.08,0.3,901.08,88.72,1
2025-03-25,eu-west-1,33.85,86.29,0.47,910.38,88.19,2
2025-03-25,us-east-1,19.5,23.82,0.29,903.09,93.05,0
2025-03-25,us-west-2,24.7,30.85,0.33,937.97,91.45,0
2025-03-26,ap-southeast-1,54.1,65.25,0.31,927.31,84.33,9
2025-03-26,eu-central-1,29.01,33.96,0.28,903.73,90.6,0
2025-03-26,eu-west-1,29.33,35.31,0.26,862.52,90.62,1
2025-03-26,us-east-1,28.59,89.31,0.26,928.08,90.82,3
2025-03-26,us-west-2,23.91,29.72,0.31,910.7,91.76,0
2025-03-27,ap-southeast-1,48.18,62.45,0.34,903.73,85.12,8
2025-03-27,eu-central-1,30.39,39.05,0.21,899.9,90.65,0
2025-03-27,eu-west-1,27.17,32.38,0.36,879.11,90.58,0
2025-03-27,us-east-1,20.01,25.49,0.34,883.81,92.65,1
2025-03-27,us-west-2,26.4,28.94,0.33,905.22,90.98,1
2025-03-28,ap-southeast-1,53.91,60.57,0.42,904.42,83.86,9
2025-03-28,eu-central-1,29.83,36.74,0.44,883.9,89.42,0
2025-03-28,eu-west-1,26.86,35.44,0.35,902.04,90.72,0
2025-03-28,us-east-1,19.41,22.85,0.3,925.33,93.02,0
2025-03-28,us-west-2,29.69,76.68,0.36,886.38,89.94,2
2025-03-29,ap-southeast-1,54.85,59.76,0.27,922.4,84.66,10
2025-03-29,eu-central-1,28.83,35.56,0.34,937.89,90.25,0
2025-03-29,eu-west-1,26.76,32.74,0.37,888.52,90.63,0
2025-03-29,us-east-1,24.58,68.36,0.29,903.71,91.68,2
2025-03-29,us-west-2,29.02,32.3,0.56,895.34,88.95,1
2025-03-30,ap-southeast-1,54.52,60.44,0.35,893.91,84.28,10
2025-03-30,eu-central-1,30.07,35.99,0.3,901.08,90.21,0
2025-03-30,eu-west-1,29.85,36.03,0.29,893.22,90.29,1
2025-03-30,us-east-1,19.02,25.46,0.38,912.97,92.67,0
2025-03-30,us-west-2,28.34,76.47,0.45,900.72,89.73,2
